id,type,name,dealNo,name_En,productSize,productSize_En,slug,ratingCount,ratingAverage,reviewsCount,shortDescription,shortDescription_En,description,description_En,categoryId,cateName,cateName_En,cateMetaTags,sku,rankDiscount,rootPrice,displayRootPrice,price,displayPrice,rankDiscountAmount,priceDiscountDisPlay,realPrice,oldPriceDisPlay,percentOfSavingDisPlay,currency,parentId,images,hasOptions,thumbnailImage,promotionLink,productNote,productImages,isParent,attributes,attributeValues,productOptionValues,productOptions,productVariations,displayOrder,isLove,metaTags,isRequiredProductOption,percentOfPriceDiscount,brandCode,url,urlDisplay,barcode,uomId,uomName,refPrice,refPriceDisplay,requiredQuantity,promotion,invAvailableQty,menuCategoryId,processingType,hasDefaultRelatedProducts,saleCount,freeshipCouponLabel,productSizes,comboGroups,productMenuIsDisable,productMenuDisableNote,calculatedPrice.price,calculatedPrice.oldPrice,calculatedPrice.rootPriceWithoutTax,calculatedPrice.rootPriceWithTax,calculatedPrice.vat,calculatedPrice.priceIncVat,productThumbnail.dir,productThumbnail.full,productThumbnail.medium,productThumbnail.thumbnail
2034,4,Espresso Đen Đá (L),,Espresso Den Da (L),,,espresso-den-da-l--2034,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,IB00012,0.0,44000.0,"44,000₫",44000.0,"44,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/espresso-den-da-l--2034,,3,Ly,,,0,,,1102,0,False,0,,,,False,,44000.0,,40740.74074074074,44000.0,8,True,,,,
2033,4,Espresso Sữa Đá (L),,Espresso Sua Da (L),,,espresso-sua-da-l--2033,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,IB00013,0.0,47000.0,"47,000₫",47000.0,"47,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/espresso-sua-da-l--2033,,3,Ly,,,0,,,1102,0,False,0,,,,False,,47000.0,,43518.51851851852,47000.0,8,True,,,,
2032,4,Trà Oolong Tứ Quý Sữa (L),,Tra Oolong Tu Quy Sua (L),,,tra-oolong-tu-quy-sua-l--2032,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,T00028,0.0,54000.0,"54,000₫",54000.0,"54,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/tra-oolong-tu-quy-sua-l--2032,,3,Ly,,,0,,,1102,0,False,0,,,,False,,54000.0,,50000.0,54000.0,8,True,,,,
2031,4,Trà Oolong Tứ Quý Sữa (M),,Tra Oolong Tu Quy Sua (M),,,tra-oolong-tu-quy-sua-m--2031,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,T00027,0.0,44000.0,"44,000₫",44000.0,"44,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/tra-oolong-tu-quy-sua-m--2031,,3,Ly,,,0,,,1102,0,False,1,,,,False,,44000.0,,40740.74074074074,44000.0,8,True,,,,
2030,4,Trà Oolong Nướng Sữa (L),,Tra Oolong Nuong Sua (L),,,tra-oolong-nuong-sua-l--2030,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,T00021,0.0,54000.0,"54,000₫",54000.0,"54,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/tra-oolong-nuong-sua-l--2030,,3,Ly,,,0,,,1102,0,False,0,,,,False,,54000.0,,50000.0,54000.0,8,True,,,,
2029,4,Trà Oolong Nướng Sữa (M),,Tra Oolong Nuong Sua (M),,,tra-oolong-nuong-sua-m--2029,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,T00020,0.0,44000.0,"44,000₫",44000.0,"44,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/tra-oolong-nuong-sua-m--2029,,3,Ly,,,0,,,1102,0,False,0,,,,False,,44000.0,,40740.74074074074,44000.0,8,True,,,,
2028,4,Trà Sữa Chôm Chôm (L),,Tra Sua Chom Chom (L),,,tra-sua-chom-chom-l--2028,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,T00017,0.0,59000.0,"59,000₫",59000.0,"59,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/tra-sua-chom-chom-l--2028,,3,Ly,,,0,,,1102,0,False,0,,,,False,,59000.0,,54629.62962962963,59000.0,8,True,,,,
1864,4,Sô-Cô-La Katinat,,So-Co-La Katinat,,,so-co-la-katinat-1864,2,2.25,0,,,,,1093,Sản phẩm bên POS Lotus ,Combo,,HB00009,0.0,44000.0,"44,000₫",44000.0,"44,000₫",0.0,,0.0,,,,,[],False,DRINK_Sô-cô-la-Katinat_800x800.jpg,,,[],True,,[],[],[],[],100,False,,True,0,KATINAT,,Products/katinat/so-co-la-katinat-1864,,Ly,Ly,,,0,,,1085,0,False,0,,S,,False,,44000.0,,40740.74074074074,44000.0,8,True,DRINK_Sô-cô-la-Katinat_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/full/DRINK_S%C3%B4-c%C3%B4-la-Katinat_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/medium/DRINK_S%C3%B4-c%C3%B4-la-Katinat_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/thumbnail/DRINK_S%C3%B4-c%C3%B4-la-Katinat_800x800.jpg
1868,0,Latte,,Latte,,,latte-1868,4,2.125,0,,,,,1085,Cà phê Espresso,,,KTN01027,0.0,49000.0,"49,000₫",49000.0,"49,000₫",0.0,,0.0,,,,,"[""DRINK_Latte_800x800.jpg""]",False,DRINK_Latte_800x800.jpg,,,"[{""dir"": ""DRINK_Latte_800x800.jpg"", ""full"": ""https://d1b9ugfoh8ldpi.cloudfront.net/full/DRINK_Latte_800x800.jpg"", ""medium"": ""https://d1b9ugfoh8ldpi.cloudfront.net/medium/DRINK_Latte_800x800.jpg"", ""thumbnail"": ""https://d1b9ugfoh8ldpi.cloudfront.net/thumbnail/DRINK_Latte_800x800.jpg""}]",True,,[],[],[],[],50,False,,True,0,KATINAT,,Products/katinat/latte-1868,,Ly,Ly,,,0,,,1085,0,False,0,,M ,,False,,49000.0,,45370.37037037037,49000.0,8,True,DRINK_Latte_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/full/DRINK_Latte_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/medium/DRINK_Latte_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/thumbnail/DRINK_Latte_800x800.jpg
1866,0,Cà Phê Latte Hạt Phỉ,,Ca Phe Latte Hat Phi,,,ca-phe-latte-hat-phi-1866,0,0.0,0,,,,,1085,Cà phê Espresso,,,KTN01025,0.0,54000.0,"54,000₫",54000.0,"54,000₫",0.0,,0.0,,,,,[],False,DRINK_Cà-Phê-Latte-Hạt-Phỉ_800x800.jpg,,,[],True,,[],[],[],[],40,False,,True,0,KATINAT,,Products/katinat/ca-phe-latte-hat-phi-1866,,Ly,Ly,,,0,,,1085,0,False,0,,M ,,False,,54000.0,,50000.0,54000.0,8,True,DRINK_Cà-Phê-Latte-Hạt-Phỉ_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/full/DRINK_C%C3%A0-Ph%C3%AA-Latte-H%E1%BA%A1t-Ph%E1%BB%89_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/medium/DRINK_C%C3%A0-Ph%C3%AA-Latte-H%E1%BA%A1t-Ph%E1%BB%89_800x800.jpg,https://d1b9ugfoh8ldpi.cloudfront.net/thumbnail/DRINK_C%C3%A0-Ph%C3%AA-Latte-H%E1%BA%A1t-Ph%E1%BB%89_800x800.jpg
